id,name,symbolSize,x,y,category,value
1141,Pesca,20,-68.893394,22.720085,0,20
1125,Acuicultura,20,-26.825102,47.03442,0,20
1151,Servicios relacionados con la agricultura,20,-7.045218,83.15026,0,20
2123,Minería de minerales no metálicos,20,39.852356,73.38537,1,20
2361,Edificación residencial,20,-75.89443,2.2136896,2,20
2362,Edificación no residencial,20,-86.71423,-5.2074046,2,20
2371,"Construcción de obras para el suministro de agua, petróleo, gas, energía eléctrica y telecomunicaciones",20,0.81934416,27.563288,2,20
2372,División de terrenos y construcción de obras de urbanización,20,-75.86546,-12.29958,2,20
2381,"Cimentaciones, montaje de estructuras prefabricadas y trabajos en exteriores",20,-45.854073,8.280145,2,20
2382,Instalaciones y equipamiento en construcciones,20,-29.838978,-6.950837,2,20
2383,Trabajos de acabados en edificaciones,20,-35.50863,15.496416,2,20
2389,Otros trabajos especializados para la construcción,20,35.22381,0.54274213,2,20
3111,Elaboración de alimentos balanceados para animales,20,-26.02541,23.756767,3,20
3112,Molienda de granos y de semillas y obtención de aceites y grasas,20,-27.565077,6.305694,3,20
3114,"Conservación de frutas, verduras, guisos y otros alimentos preparados",20,1.4866698,-8.905305,3,20
3115,Elaboración de productos lácteos,20,-96.957596,2.6738822,3,20
3116,"Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles",20,-37.716442,28.800995,3,20
3117,Preparación y envasado de pescados y mariscos,20,-15.003278,73.872406,3,20
3118,Elaboración de productos de panadería y tortillas,20,-126.25431,7.743267,3,20
3119,Otras industrias alimentarias,20,-63.444637,5.8264704,3,20
3121,Industria de las bebidas,20,-118.26656,-2.034516,3,20
3141,"Confección de alfombras, blancos y similares",20,78.15506,-13.032735,3,20
3219,Fabricación de otros productos de madera,20,-131.46077,-3.3769722,3,20
3231,Impresión e industrias conexas,20,24.717466,-5.4267893,3,20
3253,"Fabricación de fertilizantes, plaguicidas y otros agroquímicos",20,71.07119,5.9406304,3,20
3256,"Fabricación de jabones, limpiadores y preparaciones de tocador",20,67.349,-6.5057445,3,20
3271,Fabricación de productos a base de arcillas y minerales refractarios,20,-64.33737,-6.6678658,3,20
3273,"Fabricación de cemento, concreto y sus productos",20,-113.666824,-13.820174,3,20
3274,"Fabricación de cal, yeso y productos de yeso",20,5.1711326,10.277301,3,20
3279,Fabricación de otros productos a base de minerales no metálicos,20,-51.500885,-2.3150947,3,20
3323,Fabricación de estructuras metálicas y productos de herrería,20,-129.05872,-16.23934,3,20
3324,"Fabricación de calderas, tanques y envases metálicos",20,94.04377,3.8407037,3,20
3327,Maquinado de piezas y fabricación de tornillos,20,-52.423298,-14.814315,3,20
3331,"Fabricación de maquinaria y equipo agropecuario, para la construcción y para la industria extractiva",20,53.785797,9.220806,3,20
3333,Fabricación de maquinaria y equipo para el comercio y los servicios,20,47.757404,-1.8170846,3,20
3339,Fabricación de otra maquinaria y equipo para la industria en general,20,-11.186243,-0.88183063,3,20
3363,Fabricación de partes para vehículos automotores,20,-17.71314,-11.406391,3,20
3364,Fabricación de equipo aeroespacial,20,17.19454,-15.312251,3,20
